label,text
1,Kuha na ang iyong premyo! Ipinahayag na halagang XXX$. Huwag palampasin!
1,"Para sa agarang access sa aming mga produkto, pindutin dito. Mag-click na!"
1,"Habang ikaw ay natutulog, kumita nang malaking kita. Libreng kuwota!"
1,Mag-save nang hanggang 50% sa iyong pagbili. Wag nang mag-atubiling kumilos!
1,Maging bahagi ng mga masuwerteng mananalo. Kumita nang malalaking halaga ng pera!
1,Kuha na ang iyong diskwuento NGAYON! I-click dito para sa eksklusibong alok.
1,Libreng magamit ngayon! Kumita nang malaki. I-click na ito!
1,Kanselahin ang iyong utang ngayon. Agad-agad na pagbabawas ng utang. Mag-click dito!
1,Kumita nang malaking kita sa online negosyo. Mag-sign up nang libre ngayon!
1,Malaking KITA mula sa bahay. Tiyak na deposito at garantisadong kasiyahan.
1,Bumili nang direkta sa amin. Ibalik ang pera kung hindi ka kontento.
1,"Walang nakatagong bayad, walang spam. Libreng pagsubok para sa iyo."
1,Magbawas ng timbang nang agad-agad. I-click dito para sa mga detalye.
1,Maging sarili mong boss at kumita nang malalaking kita. Mag-sign up nang libre!
1,Kuha na ang iyong diskwuento NGAYON! Libreng cell phone para sa iyo.
1,Kumita nang malalaki sa aming eksklusibong alok. Agad-agad na kita!
1,Malaking KITA mula sa bahay. Mag-apply Online at kumita nang malalaki!
1,Lumaya sa utang NGAYON! Tiyak na deposito. Garantisadong kasiyahan.
1,Bumili nang direkta sa amin. Ibalik ang pera kung hindi ka kontento.
1,"Walang nakatagong bayad, walang spam. Libreng pagsubok para sa iyo."
1,Magbawas ng timbang nang agad-agad. I-click dito para sa mga detalye.
1,Maging sarili mong boss at kumita nang malalaking kita. Mag-sign up nang libre!
1,Kuha na ang iyong diskwuento NGAYON! Libreng cell phone para sa iyo.
1,"""Kumita nang malalaki sa online negosyo. Mag-click dito para sa impormasyon."""
1,"Libreng premyo, agad-agad na kita! Huwag palampasin ang oportunidad!"
1,Kumita nang malaki sa aming eksklusibong alok. Mag-apply ngayon!
1,Lumaya sa utang ngayon! Tiyak na deposito at garantisadong kasiyahan.
1,Bumili ngayon at i-save ang malaking halaga ng pera. Libreng sample!
1,Mga bagong customer lamang! Mag-click dito para sa eksklusibong alok.
1,Kitaan ng pera kada linggo sa aming alok. Agad-agad na kita!
1,Kuha na ang iyong premyo! Ipinahayag na halagang XXX$. Mag-click dito!
1,"Para sa agarang access sa aming mga produkto, pindutin dito. Wag nang mag-atubiling kumilos!"
1,"Habang ikaw ay natutulog, kumita nang malaking kita. Libreng kuwota!"
1,Mag-save nang hanggang 50% sa iyong pagbili. Maging bahagi ng mga mananalo!
1,Bumili nang direkta at makakuha ng malaking kita! Mag-sign up nang libre!
1,Kanselahin ang iyong utang ngayon. Agad-agad na pagbabawas ng utang. Mag-click dito!
1,Mag-save nang hanggang 50%! Maging bahagi ng mga masuwerteng mananalo!
1,Kuha na ang iyong diskwuento NGAYON! Mag-click dito para sa eksklusibong alok.
1,Libreng magamit ngayon! Kumita nang malaki. Mag-apply Online!
1,Kanselahin ang iyong utang ngayon. Agad-agad na pagbabawas ng utang. Mag-click dito!
1,Kumita nang malaking kita sa online negosyo. Mag-save ng hanggang 50%!
1,Malaking KITA mula sa bahay. Libreng pagsubok para sa iyo. Mag-click dito!
1,Lumaya sa utang NGAYON! Tiyak na deposito. Libreng pondo para sa iyo.
0,Magandang araw! Kamusta ka na?
0,Salamat sa iyong tulong kanina.
0,Huwag kalimutan ang ating lakad bukas.
0,Ingat ka palagi sa iyong biyahe.
0,Kumusta ang iyong araw?
0,Anong oras ang meeting bukas?
0,Kailan tayo magkikita ulit?
0,Sana mag-improve na ang panahon.
0,Maligayang kaarawan
0,Kamusta ang iyong pamilya?
0,Maayong adlaw! Kamusta ang mga bata?
0,Magandang umaga sa iyo!
0,Nagluto ako ng paborito mong ulam.
0,Nag-aalala ako sa iyo. Ingat ka palagi.
0,Mag-enjoy tayo sa ating bakasyon!
0,Magkano ang halaga ng iyong cellphone?
0,Anong petsa na tayo magkikita?
0,Pasensya na at late ako kanina.
0,Salamat sa iyong suporta at pang-unawa.
0,Kamusta ang iyong araw? Naging maganda ba?
0,Magkita tayo sa kanto mamayang 3 PM.
0,Nagpapakumbaba ako sa iyong tulong.
0,Sana ay mas maging maligaya ka pa.
0,Hindi ko malilimutan ang araw na ito.
0,Salamat sa iyong oras at pagmamahal.
0,Mahal kita nang lubos at walang kapantay.
0,Ingat ka sa iyong biyahe pauwi.
0,Gusto ko ng isang tasang mainit na kape.
0,Nakakamiss na ang iyong tawag.
0,Malapit na ang ating anniversary!
0,Mabuhay ka at magtagumpay sa buhay!
0,Sana ay magkaayos na tayo sa lahat.
0,Ipinagmamalaki kita sa aking mga kaibigan.
0,Magkasama tayo sa lahat ng pagsubok.
0,"Kamusta ka na, kaibigan?"
0,Hindi ko inaasahan ang pagbisita mo!
0,Salamat sa iyong malasakit sa akin.
0,Nagpapasalamat ako sa Diyos at ikaw ay naging bahagi ng aking buhay.
0,Nais kong malaman mo na mahalaga ka sa akin.
0,Salamat sa iyong tulong. Napakabuti mo.
0,Mag-enjoy ka sa iyong bakasyon!
0,Nag-aalala ako sa iyong kalusugan.
0,Hindi ako magtatagumpay nang wala ka.
0,Maligayang kaarawan sa iyo!
0,Kamusta na ang iyong mga magulang?
0,Mag-ingat ka sa iyong paglalakbay.
0,Ito ang paborito kong kantang OPM.
0,Napakaganda ng araw na ito.
0,Sana ay maging masaya ka lagi.
0,"Mahal kita, kaibigan."
0,Kasama mo ako sa lahat ng hakbang mo.
0,Sana ay magtagumpay ka sa iyong mga pangarap.
0,Salamat sa iyong tulong. Napakabuti mo.
0,Maligayang kaarawan! Nawa'y magkaruon ka ng masarap na handa.
0,Magkasama tayo sa lahat ng pagsubok.
0,Nais kong malaman mo na mahalaga ka sa akin.
0,Nakakamiss na ang iyong tawag.
0,Salamat sa iyong oras at pagmamahal.
0,Mag-enjoy ka sa iyong bakasyon!
0,Ingat ka palagi sa iyong biyahe.
0,Sana mag-improve na ang panahon.
0,Hindi ko inaasahan ang pagbisita mo!
0,Nagpapakumbaba ako sa iyong tulong.
0,Ingat ka sa iyong biyahe pauwi.
0,Mabuhay ka at magtagumpay sa buhay!
0,Kamusta ang iyong pamilya?
0,Huwag kalimutan ang ating lakad bukas.
0,Kailan tayo magkikita ulit?
0,Salamat sa iyong tulong kanina.
0,Magandang umaga sa iyo!
0,Magkasama tayo sa lahat ng pagsubok.
0,Nag-aalala ako sa iyo. Ingat ka palagi.
0,Magandang araw! Kamusta ka na?
0,Maayong adlaw! Kamusta ang mga bata?
0,Sana ay mas maging maligaya ka pa.
0,Pasensya na at late ako kanina.
0,Nagluto ako ng paborito mong ulam.
0,Nagpapasalamat ako sa Diyos at ikaw ay naging bahagi ng aking buhay.
0,Mag-enjoy tayo sa ating bakasyon!
0,Kumusta ang iyong araw? Naging maganda ba?
0,Anong oras ang meeting bukas?
0,Anong petsa na tayo magkikita?
0,Magkano ang halaga ng iyong cellphone?
0,Sana ay magkaayos na tayo sa lahat.
0,Ipinagmamalaki kita sa aking mga kaibigan.
0,Kamusta ang iyong araw? Naging maganda ba?
0,Magkano ang halaga ng iyong cellphone?
0,Pasensya na at late ako kanina.
0,Hindi ko inaasahan ang pagbisita mo!
0,Salamat sa iyong oras at pagmamahal.
0,"Kamusta ka na, kaibigan?"
0,Nagpapasalamat ako sa Diyos at ikaw ay naging bahagi ng aking buhay.
0,Ingat ka sa iyong biyahe pauwi.
0,Gusto ko ng isang tasang mainit na kape.
0,Nakakamiss na ang iyong tawag.
0,Nakakamiss na ang iyong tawag.
0,Ingat ka palagi sa iyong biyahe.
0,Hindi ako magtatagumpay nang wala ka.
0,Ingat ka sa iyong paglalakbay.
0,Kamusta ang iyong pamilya?
0,Mahal kita nang sobra-sobra.
0,Nag-aalala ako sa iyong kalusugan.
0,"Walang anuman, laging handa akong tumulong."
0,Sana ay magkaayos na tayo sa lahat.
0,Ingat ka sa biyahe mo pauwi.
0,Sana'y magtagumpay ka sa lahat ng iyong gawain.
0,Hinihintay ko na tayo'y magkita ulit.
0,Nawa'y magkaruon ka ng magandang araw!
0,Mabuting araw sa iyo! Huwag kang mawawala.
0,Sana'y magkaruon tayo ng mas magandang kinabukasan.
0,Nagpapasalamat ako sa iyong pagiging tapat na kaibigan.
0,Magandang umaga! Sana'y masilayan mo ang init ng araw.
0,Magtulungan tayo sa ating mga pangarap.
0,Nagpapakumbaba ako sa iyong kabutihang-loob.
0,Mabuhay ka at magtagumpay sa buhay!
0,Nagkita tayo sa tamang oras at pagkakataon.
0,Laging nasa aking mga panalangin ang iyong kaligayahan.
0,Magkasama tayo sa lahat ng laban!
0,Maraming salamat sa mga magagandang alaala.
0,Sana ay magkaayos tayo at magpatuloy ang pagkakaibigan.
0,Maligayang kaarawan! Nawa'y magkaruon ka ng maligayang araw.
0,Nagpapasalamat ako sa iyong pag-unawa sa akin.
0,Ingatan mo ang iyong kalusugan palagi.
0,Mabuting araw! Huwag kalimutan na mahal kita.
0,Hindi ko malilimutan ang pagtulong mo sa akin.
0,Salamat sa iyong mainit na pagtanggap.
0,Nagagalak akong makilala ka.
0,Walang kapantay ang ating pagkakaibigan.
0,Mahalaga ka sa aking buhay.
0,Ang aking respeto ay para sa iyo.
0,Huwag kalimutan na kasama mo ako.
0,Magkita tayo sa oras na itinakda.
0,Nawa'y magpatuloy ang ating samahan.
0,"Sa tamang panahon, lahat ay magiging maayos."
0,Salamat sa mga magagandang alaala.
0,Nawa'y magtagumpay ka sa iyong mga plano.
0,"Kahit anong mangyari, andito ako para sa iyo."
0,Maligayang kaarawan! Mabuhay ka!
0,"Mahal kita, kaibigan."
0,Laging nasa isip ko ang iyong kaligayahan.
0,Sana'y maging maganda ang araw mo.
0,Kumusta ang iyong pamilya?
0,Magkasama tayo sa hirap at ginhawa.
0,Ang aking pagmamahal ay para sa iyo.
0,Sana'y magkaayos na tayo sa lahat.
0,Kumusta ka na? Ingat ka palagi.
0,Nasa aking mga panalangin ka.
0,Nawa'y magtagumpay ka sa buhay.
0,Salamat sa iyong kabutihang-loob.
0,Sana'y masilayan mo ang saya ng buhay.
0,Hindi ko malilimutan ang ating mga alaala.
0,Nagpapasalamat ako sa iyong suporta.
0,Magandang araw! Huwag kalimutan na mahal kita.
0,Maraming salamat sa lahat.
0,Salamat sa iyong tulong at pag-unawa.
0,"Hindi mo ako kailangang pasalamatan, kaibigan."
0,Magpatuloy tayo sa pag-aalaga sa isa't isa.
0,Sa iyo ako laging nagpapasalamat.
0,Hindi ko makakalimutan ang iyong kabutihang-loob.
0,Kamusta ang iyong araw? Sana ay maganda.
0,Walang hanggang pasasalamat sa iyong kabutihang-loob.
0,Mahal kita nang sobra-sobra.
0,Walang kapantay ang ating pagkakaibigan.
0,Hindi tayo nag-iisa sa laban na ito.
0,Salamat sa pagiging tapat na kaibigan.
0,Sa iyo ako ay laging nagmamahal.
0,Magandang umaga! Sana'y magkaruon ka ng magandang araw.
0,Salamat sa lahat ng iyong tulong at suporta.
0,"Mahal kita, kaibigan. Walang katulad ka."
0,Nasa aking mga panalangin ka palagi.
0,Walang katapusang pasasalamat sa iyo.
0,Magkasama tayo sa hirap at ginhawa.
0,Ang iyong pagkakaibigan ay mahalaga sa akin.
0,Huwag mong kalimutan na kasama mo ako.
0,Maligayang kaarawan! Nawa'y magkaruon ka ng maligayang araw.
0,Nagpapasalamat ako sa iyong pag-unawa at suporta.
0,Sana'y magtagumpay ka sa iyong mga pangarap.
0,"Mahal kita, kaibigan. Salamat sa lahat."
0,Laging nasa aking mga panalangin ang iyong kaligayahan.
0,"Hindi mo ako kailangang pasalamatan, kaibigan."
0,Nasa aking mga panalangin ka.
0,Salamat sa iyong mainit na pagtanggap.
0,Nagagalak akong makilala ka.
0,Walang katapusang pasasalamat sa iyo.
0,Hindi tayo nag-iisa sa laban na ito.
0,"Sa tamang panahon, lahat ay magiging maayos."
0,Salamat sa mga magagandang alaala.
0,Nawa'y magpatuloy ang ating samahan.
0,Ang aking pagmamahal ay para sa iyo.
0,Magandang araw! Huwag kalimutan na mahal kita.
0,Kamusta ang iyong araw? Sana'y maganda.
0,Magandang umaga sa iyo! Huwag kang mag-alala.
0,Salamat sa iyong pagkakaibigan.
0,"Nagmamahal ako sa iyo, kaibigan."
0,Hindi mo ako kailangang pasalamatan.
0,Magpatuloy tayo sa pag-aalaga sa isa't isa.
0,Nawa'y magkaruon ka ng magandang araw.
0,Kasama mo ako sa lahat ng oras.
0,Mag-enjoy ka sa araw na ito.
0,"Mahal kita, kaibigan. Walang katulad ka."
0,Kamusta? Anong balita sa 'yo?
0,"Tara, kain tayo sa labas mamaya!"
0,Gusto mo mag-movie mamaya?
0,Hindi mo kailangang mag-alala.
0,Sana'y magkaayos na tayo sa lahat.
0,"Magandang umaga, kaibigan!"
0,Swerte ko at may kaibigan kang tulad mo.
0,Huwag mong kalimutan ang meeting bukas.
0,Nakaka-miss na ang bonding natin!
0,Kailan tayo ulit magkikita?
0,Mabuti naman ako. Ikaw?
0,Sana'y magtagumpay ka sa lahat ng iyong gawain.
0,Excited na akong magkita-kita tayo!
0,Nakaka-miss ang mga kwentuhan natin.
0,Gusto ko na makatikim ng street food sa kanto.
0,"Nag-aalala ako sa iyo, ingat ka palagi."
0,"Mabuting araw, kaibigan!"
0,Ingat ka sa biyahe mo palagi.
0,"Hindi mo ako kailangang pasalamatan, okay lang."
0,"Hala, walang anuman, tara na!"
0,"Wala akong ginagawa, malapit lang ako sa bahay."
0,Nakatutuwa kang kausap.
0,"Sige, kwentuhan tayo mamaya."
0,Gusto mo bang mag-coffee break?
0,Ito ang gusto ko sa pagiging kaibigan mo.
0,Kamusta ang pamilya mo?
0,"Ako rin, excited na tayo magkita!"
0,"Tara, inom tayo ng kape."
0,May plano ba tayo this weekend?
0,"Nag-aalala ako sa iyo, sana okay ka lang."
0,"Hindi mo ako kailangang pasalamatan, kaibigan."
0,Pasensya na at late ako kanina.
0,Malapit na ang ating anniversary!
0,"Tara, mag-lunch tayo mamaya."
0,"Magkita tayo sa kanto, kape tayo!"
0,"Ingat ka palagi, alam mo na."
0,Magkano ang halaga ng cellphone mo?
0,Anong oras ang libre mo?
0,Nag-aalala ako sa kalusugan mo.
0,Mag-lunch tayo sa paborito nating kainan.
0,Nag-moment lang ako at naalala kita.
0,"Huwag kang mag-alala, kasama mo ako."
0,Salamat sa iyong mainit na pagtanggap.
0,Ano'ng plano mo para sa araw na ito?
0,"Tara, gumala tayo at mag-explore ng lugar."
0,"Mabuti ka pa, naging bahagi ng aking buhay."
0,Huwag mong kalimutan na kasama mo ako.
0,Magkita tayo sa usual na tambayan.
0,Kamusta? Okay ka lang ba?
0,"Hala, sige, magkita tayo mamaya!"
